source,lang-source,author,license,sme-reviewed,premium,lang-source-dict,id
Certificat de non appel,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Certificat attestant qu'il n'y a pas eu appel d'une décision.,bf5ec186-2bdd-4c63-907b-804f63b5169c
Certificat de non opposition,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Certificat attestant qu'il n'y a pas eu opposition à l'encontre d'une décision.,a56d5338-514d-45d8-b559-b651e18af529
Certificat de non pourvoi en cassation,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Certificat attestant qu'il n'y a pas eu de pourvoi en cassation à l'encontre d'une décision.,81a98906-6613-41e5-af43-7ec960c75555
Certificat de propriété,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,"Également appelé . Établi par un notaire, il constate le transfert de propriété d'un bien mobilier à un héritier.",9e688442-4441-42c8-a994-eac7091726bf
Cession de rémunération,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,"Lorsqu'un salarié doit une somme d'argent, il peut demander qu'une partie de son salaire soit versée directement à la personne à qui il doit cette somme. Il s'agit d'un choix du salarié.",1a1bef2f-30e0-4006-8c6c-ab212f8667fd
Chèque non barré,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,"Type de chèque pouvant être changé contre des espèces auprès de la banque de l'émetteur du chèque. Il peut aussi être transmis par le bénéficiaire initial à une autre personne, par endossement.",e52016df-9842-4858-8ba9-5ffbcf89516c
Citation directe,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Procédure permettant à la victime ou au procureur de la République de saisir directement le tribunal en informant la personne poursuivie des lieu et date de l'audience.,519946d4-ccf1-4d37-8ea3-6412636bb187
Civil (droit civil),fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,"Le droit civil réglemente les rapports entre les personnes. Les matières concernées sont par exemple la famille, les régimes matrimoniaux, les successions, les incapacités, la propriété, les contrats, etc.",feb9ce53-858f-489e-bab9-2477f17906d1
Classement sans suite,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Décision prise par le procureur de la République de ne pas donner suite à une affaire.,69394934-a763-4556-81b1-c9c5ab4431b6
Clause d'indexation,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Disposition d’un contrat ou d’un jugement destinée à compenser la dépréciation monétaire (ou à tenir compte de l’inflation) entre le jour où la créance est évaluée et le jour du paiement.,33d55a3a-a8e9-4acc-9025-d83568aeb396
